date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2024-01-10,933878.1676872805,1406355.9526985807,1353615.79170101
2024-01-11,940511.2676872804,1417726.3126985806,1366663.81170101
2024-01-14,960627.1976872806,1446923.3726985804,1368596.85170101
2024-01-15,964243.1676872806,1469802.0826985806,1370046.63170101
2024-01-16,987384.7176872805,1546196.8426985804,1399525.49170101
2024-01-17,982040.1576872804,1534406.2926985805,1447851.49170101
2024-01-18,981257.1376872804,1557458.5826985806,1426104.79170101
2024-01-21,1058759.8576872807,1674410.6026985806,1467181.8917010098
2024-01-22,1073900.2976872802,1669324.8426985804,1501976.6117010098
2024-01-23,1052569.6976872806,1643754.9826985805,1495694.23170101
2024-01-24,1072707.7576872807,1667314.8526985806,1469114.9317010099
2024-01-28,1112375.2876872804,1756478.6626985802,1507775.73170101
2024-01-29,1127218.6876872806,1761109.6626985804,1522273.53170101
2024-01-30,1147482.0376872807,1799515.4026985804,1555618.47170101
2024-01-31,1027574.8676872805,1611970.1726985804,1516957.67170101
2024-02-01,1054533.2241098606,1682604.7758337206,1527905.6451753802
